257.0000  2.42  0.00    1.0600   93.1481  994.8000
257.0208  2.82  0.00    0.8900   95.5805  994.8000
257.0417  2.90  0.00    0.9200   96.0486  994.8000
257.0625  2.46  0.00    0.6500   99.7759  994.9000
257.0833  1.54  0.00    0.5800  101.3346  995.0000
257.1042  1.58  0.00    0.6400  101.6738  995.1000
257.1250  2.01  0.00    0.6200  101.8921  995.1000
257.1458  2.13  0.00    0.5700  102.1399  995.1000
257.1667  2.63  0.00    0.4100  102.3964  995.1000
257.1875  3.18  0.00    0.2200  102.5832  995.2000
257.2083  2.97  0.00    0.1300  102.7717  995.3000
257.2292  2.49  0.00    0.1500  102.8519  995.3000
257.2500  2.73  0.00    0.1700  102.8321  995.4000
257.2708  2.71  0.00    0.1500  102.8519  995.6000
257.2917  3.13  0.00    0.0900  102.9111  995.5000
257.3125  2.82  0.00    0.0700  103.0308  995.6000
257.3333  2.96  9.42   -0.0300  103.2297  995.6000
257.3542  2.83  9.41   -0.0900  103.2892  995.6000
257.3750  2.69  9.41   -0.1300  103.3288  995.6000
257.3958  2.89  9.39   -0.2300  103.3278  995.8000
257.4167  2.72  9.37   -0.3300  103.1261  996.0000
257.4375  2.49  9.36   -0.4000  102.5931  996.0000
257.4583  2.60  9.33   -0.5400  101.7259  996.2000
257.4792  2.76  9.32   -0.6200  101.3010  996.3000
257.5000  2.62  9.28   -0.8300  100.2959  996.4000
257.5208  2.01  9.27   -0.9200  100.4835  996.5000
257.5417  1.93  9.26   -0.9500  100.1088  996.7000
257.5625  2.44  9.24   -1.1000   99.7477  996.8000
257.5833  2.30  9.22   -1.1700   98.8035  997.0000
257.6042  2.38  9.22   -1.2200   98.5475  997.0000
257.6250  2.56  9.22   -1.1800   99.1164  997.1000
257.6458  3.27  9.22   -1.2100   99.1450  997.1000
257.6667  2.99  9.22   -1.1800   99.3187  997.3000
257.6875  3.28  9.26   -0.9800   97.7149  997.4000
257.7083  3.43  9.26   -0.9700   97.4027  997.6000
257.7292  2.99  9.29   -0.8100   96.8501  997.7000
257.7500  3.32  9.28   -0.8700   95.4941  997.8000
257.7708  3.18  9.30   -0.7500   94.8806  997.9000
257.7917  3.32  9.31   -0.6900   94.2219  998.0000
257.8125  3.34  9.31   -0.6700   94.1032  998.3000
257.8333  3.36  9.31   -0.6700   94.1032  998.4000
257.8542  3.61  9.32   -0.6100   92.5402  998.4000
257.8750  3.32  9.33   -0.5700   92.6053  998.4000
257.8958  2.67  9.34   -0.5200   91.9578  998.7000
257.9167  2.59  9.33   -0.5500   91.9843  998.9000
257.9375  2.58  9.32   -0.6300   90.8477  999.2000
257.9583  2.89  9.31   -0.6500   91.4689  999.0000
257.9792  3.32  9.31   -0.6600   90.8739  998.8000
258.0000  3.64  9.30   -0.7500   91.5567  998.6000
258.0208  2.92  9.27   -0.8900   93.5962  998.9000
258.0417  2.22  9.26   -0.9800   93.5762  999.2000
258.0625  2.33  9.24   -1.0600   93.6481  999.2000
258.0833  2.30  9.23   -1.1500   93.8302  999.2000
258.1042  2.57  9.21   -1.2500   94.0215  999.2000
258.1250  2.04  9.20   -1.3100   94.9871  999.2000
258.1458  2.09  9.19   -1.3900   96.3776  999.2000
258.1667  2.44  9.17   -1.4900   97.4846  999.4000
258.1875  2.15  9.15   -1.6200   97.6064  999.5000
258.2083  1.11  9.14   -1.6600   98.5584  999.5000
258.2292  1.20  9.13   -1.7400   99.6510  999.6000
258.2500  1.90  9.10   -1.8900  100.9149  999.5000
258.2708  2.29  9.10   -1.9000  101.0264  999.4000
258.2917  2.43  9.10   -1.9200  101.1477  999.2000
258.3125  2.23  9.10   -1.8800  101.5161  999.0000
258.3333  1.82  9.11   -1.8200  101.4576  999.1000
258.3542  2.15  9.11   -1.8500  101.5887  999.0000
258.3750  2.56  9.12   -1.8100  101.4479  998.9000
